"Name of Covered Entity","State","Covered Entity Type","Individuals Affected","Breach Submission Date","Type of Breach","Location of Breached Information","Business Associate Present","Web Description"
"Ijaola, LLC d/b/a Mercy Grace Private Practice ","AZ","Healthcare Provider","4450","08/30/2021","Hacking/IT Incident","Email","No",""
"Queen Creek Medical Center d/b/a Desert Wells Family Medicine","AZ","Healthcare Provider","35000","08/30/2021","Hacking/IT Incident","Network Server","No",""
"Easterseals Delaware & Maryland's Eastern Shore","DE","Healthcare Provider","501","08/30/2021","Hacking/IT Incident","Email","No",""
"DuPage Medical Group, Ltd. ","IL","Healthcare Provider","655384","08/30/2021","Hacking/IT Incident","Network Server","No",""
"CareATC, Inc.","OK","Healthcare Provider","98774","08/27/2021","Hacking/IT Incident","Email","No",""
"Beaumont Health","MI","Healthcare Provider","1568","08/27/2021","Hacking/IT Incident","Network Server","Yes",""
"Family Medical Center of Michigan ","MI","Healthcare Provider","21988","08/26/2021","Hacking/IT Incident","Network Server","No",""
"Medical Business Management","AL","Business Associate","1750","08/25/2021","Hacking/IT Incident","Network Server","Yes",""
"LifeLong Medical Care","CA","Healthcare Provider","115448","08/25/2021","Hacking/IT Incident","Network Server","Yes",""
"San Andreas Regional Center","CA","Business Associate","57244","08/25/2021","Hacking/IT Incident","Network Server","Yes",""
"The Wedge Medical Center","PA","Healthcare Provider","29000","08/24/2021","Hacking/IT Incident","Network Server","No",""
"Denton County, Texas","TX","Healthcare Provider","326417","08/24/2021","Unauthorized Access/Disclosure","Network Server","No",""
"CarePointe ENT","IN","Healthcare Provider","48742","08/23/2021","Hacking/IT Incident","Network Server","No",""
"Gregory P. Vannucci DDS","IA","Healthcare Provider","26144","08/20/2021","Hacking/IT Incident","Network Server","No",""
"South Florida Community Care Network LLC d/b/a Community Care Plan","FL","Health Plan","48344","08/20/2021","Unauthorized Access/Disclosure","Email","No",""
"Central Utah Clinic, P.C. dba Revere Health","UT","Healthcare Provider","12433","08/19/2021","Hacking/IT Incident","Email","No",""
"Nova Biomedical Corporation","MA","Health Plan","3774","08/17/2021","Hacking/IT Incident","Network Server","No",""
"Nashua Regional Cancer Center dba Radiation Center of Greater Nashua","NH","Healthcare Provider","520","08/17/2021","Hacking/IT Incident","Network Server","Yes",""
"Metro Infectious Disease Consultants","IL","Healthcare Provider","171740","08/16/2021","Hacking/IT Incident","Email","No",""
"UTMP Surgical Oncology","TN","Healthcare Provider","1310","08/16/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"Texoma Community Center","TX","Healthcare Provider","24030","08/16/2021","Hacking/IT Incident","Email","No",""
"Alluma, Inc","MN","Healthcare Provider","4117","08/15/2021","Unauthorized Access/Disclosure","Paper/Films","No",""
"McCoy Consulting Services LLC","WV","Business Associate","5500","08/13/2021","Hacking/IT Incident","Email","Yes",""
"Fairfax Medical Facilities, Inc.","OK","Healthcare Provider","4970","08/13/2021","Hacking/IT Incident","Email","No",""
"University Medical Center Southern Nevada","NV","Healthcare Provider","1300000","08/13/2021","Hacking/IT Incident","Network Server","No",""
"North Country Healthcare","NH","Healthcare Provider","3550","08/12/2021","Hacking/IT Incident","Network Server","Yes",""
"Frisco Fertility Center, PLLC dba Dallas IVF","TX","Healthcare Provider","552","08/12/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Waste Management Health and Welfare Benefits Plan","TX","Health Plan","922","08/12/2021","Hacking/IT Incident","Network Server","No",""
"Children's Hospital of The King's Daughters","VA","Healthcare Provider","914","08/11/2021","Hacking/IT Incident","Email","No",""
"Express MRI – Norcross, LLC","GA","Business Associate","1707","08/11/2021","Hacking/IT Incident","Email","Yes",""
"St. Joseph's/Candler Health System, Inc.","GA","Healthcare Provider","1400000","08/10/2021","Hacking/IT Incident","Network Server","No",""
"Electromed","MN","Healthcare Provider","47200","08/09/2021","Hacking/IT Incident","Network Server","No",""
"Long Island Jewish Forest Hills Hospital ","NY","Healthcare Provider","10333","08/06/2021","Unauthorized Access/Disclosure","Electronic Medical Record","No",""
"Wisconsin Institute of Urology S.C.","WI","Healthcare Provider","4819","08/05/2021","Hacking/IT Incident","Email","No",""
"UNM Health","NM","Healthcare Provider","637252","08/03/2021","Hacking/IT Incident","Network Server","No",""
"Vision for Hope ","IL","Healthcare Provider","1344","08/03/2021","Hacking/IT Incident","Email","No",""
"Hospice of the Piedmont","VA","Healthcare Provider","10682","08/02/2021","Hacking/IT Incident","Email","No",""
"Valley Physical Medicine & Rehabilitation","AZ","Health Plan","1866","08/02/2021","Unauthorized Access/Disclosure","Email","No",""
