year,month,day,region,iso_country_code,total_visits,total_devices_seen,total_home_visits,total_home_visitors
2018,1,1,ALL,"",22622698,10384200,11183950,8002066
2018,1,1,ALL_CA,CA,1,1,1,1
2018,1,1,ALL_US,US,22622697,10384199,11183949,8002065
2018,1,1,ak,US,28690,15470,14905,11565
2018,1,1,al,US,370443,193053,222863,159699
2018,1,1,ar,US,215744,107514,124350,87838
2018,1,1,as,US,33,25,27,24
2018,1,1,az,US,450671,198522,209861,150159
2018,1,1,bc,CA,1,1,1,1
2018,1,1,ca,US,2727465,1122439,1154591,819644
2018,1,1,co,US,403760,177657,171561,125384
2018,1,1,ct,US,189593,95281,100544,70968
2018,1,1,dc,US,108776,49353,30274,21740
2018,1,1,de,US,56132,29286,28114,20369
2018,1,1,fl,US,2238754,946678,943578,664022
2018,1,1,ga,US,839667,370373,402901,284652
2018,1,1,gu,US,3886,1782,2080,1216
2018,1,1,hi,US,111535,42025,35545,25371
2018,1,1,ia,US,199732,109658,120699,88476
2018,1,1,id,US,87643,43620,47210,34100
2018,1,1,il,US,801212,399058,415699,301311
2018,1,1,in,US,403101,206324,229674,164754
2018,1,1,ks,US,221582,112598,127590,91442
2018,1,1,ky,US,273749,138270,152389,109060
2018,1,1,la,US,356209,172529,183149,131145
2018,1,1,ma,US,354801,178912,174949,125622
2018,1,1,md,US,416712,197841,195591,139437
2018,1,1,me,US,58122,31393,33354,24673
2018,1,1,mi,US,592111,305178,344058,247996
2018,1,1,mn,US,333479,165159,180968,129965
2018,1,1,mo,US,425848,209928,232661,165739
2018,1,1,mp,US,397,211,392,210
2018,1,1,ms,US,188634,96444,106605,76357
2018,1,1,mt,US,52496,27436,28434,21256
2018,1,1,nc,US,726498,347459,393096,276869
2018,1,1,nd,US,47862,25079,26961,19707
2018,1,1,ne,US,135884,73441,80246,59047
2018,1,1,nh,US,75754,38327,39909,28409
2018,1,1,nj,US,602319,294590,310963,215001
2018,1,1,nm,US,99523,50287,47526,35475
2018,1,1,nv,US,329608,114407,97623,70387
2018,1,1,ny,US,1207993,589168,548816,397222
2018,1,1,oh,US,711194,365789,412481,295553
2018,1,1,ok,US,331282,170893,188979,137334
2018,1,1,or,US,226834,105620,109712,80350
2018,1,1,pa,US,702687,364625,372981,270186
2018,1,1,pr,US,47005,26028,25696,18362
2018,1,1,ri,US,57671,30107,28975,20895
2018,1,1,sc,US,326550,162726,177176,125614
2018,1,1,sd,US,48580,25728,28000,20350
2018,1,1,tn,US,480718,230628,248180,176641
2018,1,1,tx,US,2250306,1049062,1152371,826415
2018,1,1,ut,US,203417,86638,95230,65667
2018,1,1,va,US,558386,260378,276162,194671
2018,1,1,vi,US,292,192,0,0
2018,1,1,vt,US,29319,15899,14528,10844
2018,1,1,wa,US,428988,204656,211572,155957
2018,1,1,wi,US,357370,193994,211065,154598
2018,1,1,wv,US,95930,53703,55714,41598
2018,1,1,wy,US,29750,15786,15371,11413
2018,1,2,ALL,"",20120269,11352532,10564215,8895620
2018,1,2,ALL_CA,CA,1,1,1,1
2018,1,2,ALL_US,US,20120268,11352531,10564214,8895619
2018,1,2,ak,US,35743,18553,17361,14163
2018,1,2,al,US,346772,209745,209760,174350
2018,1,2,ar,US,190049,116195,113829,95481
2018,1,2,as,US,53,40,47,37
2018,1,2,az,US,397487,218105,205230,170805
2018,1,2,bc,CA,1,1,1,1
2018,1,2,ca,US,2613373,1248248,1152674,938750
2018,1,2,co,US,351133,190267,168586,141178
2018,1,2,ct,US,166193,101440,91949,78501
2018,1,2,dc,US,142119,59752,37205,26762
2018,1,2,de,US,52320,32110,27269,23463
2018,1,2,fl,US,1938551,1008056,875040,724872
2018,1,2,ga,US,680326,397189,371202,317248
2018,1,2,gu,US,3325,1652,1850,1316
2018,1,2,hi,US,113502,46894,38351,30288
2018,1,2,ia,US,182765,117260,112732,95891
2018,1,2,id,US,81635,48084,46995,39058
2018,1,2,il,US,710670,427585,384456,328819
2018,1,2,in,US,339402,217172,206114,176907
2018,1,2,ks,US,205746,123412,121118,100654
2018,1,2,ky,US,236507,148136,141806,119883
2018,1,2,la,US,314342,186682,174904,146681
2018,1,2,ma,US,329077,196144,164995,140949
2018,1,2,md,US,375181,212942,186138,156842
2018,1,2,me,US,51584,33657,32255,27386
2018,1,2,mi,US,507446,328447,314984,270805
2018,1,2,mn,US,306646,180962,171006,143523
2018,1,2,mo,US,368333,226115,213984,182100
2018,1,2,mp,US,356,234,355,234
2018,1,2,ms,US,169610,102811,98192,82775
2018,1,2,mt,US,51323,29745,28381,23551
2018,1,2,nc,US,617324,380386,363453,308152
2018,1,2,nd,US,46859,28138,26649,22350
2018,1,2,ne,US,129255,77374,74674,62394
2018,1,2,nh,US,60391,39355,35963,31156
2018,1,2,nj,US,495649,308350,271976,235100
2018,1,2,nm,US,91675,55455,49451,41567
2018,1,2,nv,US,264060,116514,97240,80317
