year,month,region,num_visits,num_unique_visitors
2018,1,ALL,617685474,26453703
2018,1,ALL_US,617685474,26453703
2018,1,ak,822545,46226
2018,1,al,10564116,526298
2018,1,ar,6014564,310502
2018,1,as,262,48
2018,1,az,12655484,625187
2018,1,ca,79761571,3262665
2018,1,co,10611069,551046
2018,1,ct,4895402,322350
2018,1,dc,4777733,276774
2018,1,de,1439573,115581
2018,1,fl,62907031,2732118
2018,1,ga,22802851,1134421
2018,1,gu,73094,5773
2018,1,hi,3180632,133781
2018,1,ia,5077057,297953
2018,1,id,2226661,131684
2018,1,il,21954276,1203168
2018,1,in,10569586,611691
2018,1,ks,5843170,318346
2018,1,ky,6747813,426193
2018,1,la,9456696,522334
2018,1,ma,9515077,612100
2018,1,md,11050058,675768
2018,1,me,1237894,82666
2018,1,mi,15386442,823664
2018,1,mn,8649889,457306
2018,1,mo,11410502,623148
2018,1,mp,189,17
2018,1,ms,5348944,311234
2018,1,mt,1291048,71014
2018,1,nc,17966295,980701
2018,1,nd,1273632,73139
2018,1,ne,3659864,207602
2018,1,nh,1794163,121822
2018,1,nj,15436527,979492
2018,1,nm,2455688,185305
2018,1,nv,8162236,444339
2018,1,ny,32991142,2010199
2018,1,oh,18364390,989917
2018,1,ok,9268596,477629
2018,1,or,6165187,310720
2018,1,pa,18573484,1175503
2018,1,pr,1260912,86263
2018,1,ri,1457906,112211
2018,1,sc,8593141,496728
2018,1,sd,1250217,73339
2018,1,tn,12513291,691768
2018,1,tx,66893799,2886012
2018,1,ut,5063942,258620
2018,1,va,14610326,841496
2018,1,vi,11789,1470
2018,1,vt,708431,55310
2018,1,wa,11659676,625783
2018,1,wi,8345585,498185
2018,1,wv,2204031,173457
2018,1,wy,729995,54510
